index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
043632db64e81e9450a40fdefa8e7632,2025-12-04T14:25:00Z,'Schneemassen',www.stern.de,de,0.0,Ideen für Weihnachten: Diese neun Geschenke können Leben retten,"Lawinen-Rucksack, Sicherheitsarmband oder Anti-Erstickungspumpe: Anregungen für ganz besondere Geschenke, die im Notfall lebensrettend sein können.",https://www.stern.de/gesundheit/neun-aussergewoehnliche-geschenke--die-leben-retten-koennen--36923970.html,https://image.stern.de/36924306/t/h_/v9/w1440/r1.7778/-/geschenk-skitour-lawine.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Lawinen-Rucksack, Sicherheitsarmband oder Anti-Erstickungspumpe: Anregungen für ganz besondere Geschenke, die im Notfall lebensrettend sein könne… [+6511 chars]",,"Ideen für Weihnachten: Diese neun Geschenke können Leben retten. Lawinen-Rucksack, Sicherheitsarmband oder Anti-Erstickungspumpe: Anregungen für ganz besondere Geschenke, die im Notfall lebensrettend sein können.","Ideas for Christmas: These nine gifts can save lives. Avalanche backpack, safety bracelet or anti-suffocation pump: suggestions for very special gifts that can be life-saving in an emergency.","Ideae pro Nativitate Domini: Haec novem dona vitam servare possunt. NIVIS MANTICA, armilla salus vel sentinam anti-suffocatio: suggestiones pro valde specialibus donis quae possunt esse vita salutaris in casu necessitatis.",2025-12-06 08:44:37+00:00
acd432996dbd5380d02c93735e06af2a,2025-12-02T04:53:47Z,'Schneemassen',www.diepresse.com,de,0.9,Eine Handvoll Lebensretter bei Lawinen [premium],"Der österreichische Hersteller Pieps hat ein Miniaturgerät zum Auffinden von Verschütteten entwickelt. Wer damit retten will, braucht allerdings auch Schaufel und Sonde in normaler Größe.",https://www.diepresse.com/20366233/eine-handvoll-lebensretter-bei-lawinen,https://img.diepresse.com/public/incoming/m2wr5-01000389.jpg/alternates/DPR_SOCIAL_NACHRICHTEN/01000389.jpg,,"Aktuell haben sich in Österreichs Bergen gefährliche Verhältnisse zusammengebraut: Neuschnee, Wind und prekäre Altschneebestände ergeben eine erhöhte Lawinengefahr. Prompt sind in der vergangenen Woc… [+1288 chars]",,"Eine Handvoll Lebensretter bei Lawinen [premium]. Der österreichische Hersteller Pieps hat ein Miniaturgerät zum Auffinden von Verschütteten entwickelt. Wer damit retten will, braucht allerdings auch Schaufel und Sonde in normaler Größe.","A handful of lifesavers in avalanches [premium]. The Austrian manufacturer Pieps has developed a miniature device for finding buried people. However, if you want to save with it, you also need a normal-sized shovel and probe.","A nonnullis animantibus in avalanches [premium]. Fabrica Pieps Austriaca parvam machinam excogitavit ad homines sepultos inveniendos. Si autem vis cum eo servare, etiam opus est normali trulla et probe.",2025-12-06 08:44:37+00:00
a0c569ab6631d28e598219116b3dc2ec,2025-12-06T16:49:04Z,'Lawinenopfer',www.bild.de,de,0.9,Drama an der Zugspitze - Lawine reißt Deutschen (19) in den Tod,Tragödie auf der Zugspitze: Ein deutscher Bergsteiger stirbt durch eine Lawine. Erstes Lawinenopfer des Winters in Tirol.,https://www.bild.de/news/ausland/zugspitze-lawine-reisst-bergsteiger-in-den-tod-6934549a9a8dfe01d71adf35,"https://images.bild.de/6934549a9a8dfe01d71adf35/28cd3d842f2564a8f6b3bd553fd24fef,db8d6519?w=1280",,"Reutte (Österreich) Drama auf der Zugspitze: Ein junger Bergsteiger (19) aus Deutschland wurde am Samstag von einer Lawine erfasst und in den Tod gerissen.
Wie die Leitstelle Tirol dem ORF bestätigt… [+1186 chars]",,Drama an der Zugspitze - Lawine reißt Deutschen (19) in den Tod. Tragödie auf der Zugspitze: Ein deutscher Bergsteiger stirbt durch eine Lawine. Erstes Lawinenopfer des Winters in Tirol.,Drama at the Zugspitze - avalanche kills German (19) Tragedy on the Zugspitze: A German mountaineer dies in an avalanche. First avalanche victim of the winter in Tyrol.,Drama in Zugspitze - avalanche Germanica (19) Tragoedia in Zugspitze occidit: Mons Germanus in NIVIS moritur. Primum NIVIS victimam hiemis in Tyrol.,2025-12-07 20:39:39+00:00
7cbd5d1099bcee5d0c160c84dd8114b2,2025-12-06T19:04:15Z,'Lawinenopfer',www.n-tv.de,de,0.9,Lawine erfasst 19-Jährigen: Deutscher Bergsteiger stirbt an der Zugspitze,"Ein Klettersteig an der Zugspitze wird einem jungen Mann aus Baden-Württemberg zum tödlichen Verhängnis: Eine Lawine erfasst den 19-Jährige, der wohl einen fatalen Fehler begangen hatte.",https://www.n-tv.de/panorama/Deutscher-Alpinist-stirbt-bei-Lawinenunglueck-in-Tirol-id30113666.html,https://www.n-tv.de/img/30113756/1765049463/Img_16_9/1200/Garmisch-28-11-2025-Foto-Robert-Haas-Restaurierung-des-Gipfelkreuzes-der-Zugspitze-Anbringung-des-neu-vergoldeten-Kreuzes-am-auf-dem-Gipfel-Reportage-Restaurierung-und-Vergoldung-des-Gipfelkreuzes-der-Zugspitze.jpg,,"Der Deutsche ist das erste Lawinenopfer im österreichischen Bundesland Tirol in diesem Winter. (Foto: picture alliance / SZ Photo)

Ein Klettersteig an der Zugspitze wird einem jungen Mann aus Baden-… [+1598 chars]",,"Lawine erfasst 19-Jährigen: Deutscher Bergsteiger stirbt an der Zugspitze. Ein Klettersteig an der Zugspitze wird einem jungen Mann aus Baden-Württemberg zum tödlichen Verhängnis: Eine Lawine erfasst den 19-Jährige, der wohl einen fatalen Fehler begangen hatte.","Avalanche hits 19-year-old: German mountaineer dies on Zugspitze. A via ferrata on the Zugspitze becomes fatal for a young man from Baden-Württemberg: an avalanche hits the 19-year-old, who must have made a fatal mistake.","Avalanche pervenit XIX annos: German montanus in Zugspitze moritur. A via ferrata in Zugspitze mortiferum fit iuveni Badensi-Württembergae: NIVIS CASUS XIX annorum pervenit, qui fatalem errorem fecit.",2025-12-07 20:39:39+00:00
b45a40f743ffeaf715d79e3b8158e526,2025-12-07T09:57:21Z,'Schneemassen',www.tagesspiegel.de,de,0.9,Rund 350 Meter in die Tiefe gerissen: 19-jähriger Deutscher stirbt bei Lawinenunglück in Tirol,Am Samstag wird ein 19-Jähriger von einer Lawine verschüttet. Der junge Mann sei bei dem Abgang ungesichert unterwegs gewesen. Sein 21 Jahre alter Begleiter war am Seil gesichert und überlebte.,https://www.tagesspiegel.de/gesellschaft/panorama/rund-350-meter-in-die-tiefe-gerissen-19-jahriger-deutscher-stirbt-bei-lawinenungluck-in-tirol-15026995.html,https://www.tagesspiegel.de/images/15027002/alternates/BASE_16_9_W1400/1765101340000/stubaier-gletscher.jpeg,,"Bei einem Lawinenabgang in Tirol ist ein 19-jähriger Deutscher ums Leben gekommen. Wie die österreichischen Behörden am Sonntag mitteilten, ereignete sich das Unglück am Samstagvormittag zwischen der… [+2176 chars]",,Rund 350 Meter in die Tiefe gerissen: 19-jähriger Deutscher stirbt bei Lawinenunglück in Tirol. Am Samstag wird ein 19-Jähriger von einer Lawine verschüttet. Der junge Mann sei bei dem Abgang ungesichert unterwegs gewesen. Sein 21 Jahre alter Begleiter war am Seil gesichert und überlebte.,"Torn down around 350 meters: 19-year-old German dies in an avalanche accident in Tyrol. On Saturday, a 19-year-old was buried in an avalanche. The young man was unsecured when he left. His 21-year-old companion was secured to the rope and survived.",Destruitur circa 350 metra: 19 annos Germanorum in casu cadente in Tyrol moritur. Die Sabbati XIX annorum sepultus est in NIVIS. Insecuta est adulescens quando discessit. Socius eius XXI annorum funi factus est et supervixit.,2025-12-11 08:51:46+00:00
0567844c698d8095e933b36635963e61,2025-12-06T09:56:40Z,'Lawine',tirol.orf.at,de,0.9,Lawine auf der Zugspitze: Ein Vermisster,"In Ehrwald (Bezirk Reutte) ist am Samstagvormittag auf der Zugspitze eine Lawine abgegangen. Eine Person konnte unverletzt geborgen werden, eine zweite wird noch vermisst. Sie dürfte von der Lawine verschüttet worden sein.",https://tirol.orf.at/stories/3333043/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2020%2F34%2F13%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F656731_master_226313_unbenannt-1.jpg%3Fs%3D48d5c4232b51b3d8c30c351fafc1e5cfbc6755a6,,"Der Lawinenabgang ereignete sich um kurz vor 10.00 Uhr im Bereich des bekannten Klettersteigs Stopselzieher, der auf die Zugspitze führt, wie die Leitstelle Tirol dem ORF mitteilte. Mindestens zwei A… [+426 chars]",,"Lawine auf der Zugspitze: Ein Vermisster. In Ehrwald (Bezirk Reutte) ist am Samstagvormittag auf der Zugspitze eine Lawine abgegangen. Eine Person konnte unverletzt geborgen werden, eine zweite wird noch vermisst. Sie dürfte von der Lawine verschüttet worden sein.","Avalanche on the Zugspitze: A missing person. In Ehrwald (Reutte district) an avalanche occurred on the Zugspitze on Saturday morning. One person was rescued uninjured, a second is still missing. She was probably buried by the avalanche.","Avalanche in Zugspitze: A persona absentis. Apud Ehrwald (Reutte regio) NIVIS CASUS in Zugspitze die Sabbati mane occurrit. Alter incolumis ereptus est, alter adhuc defuit. Probabiliter sepulta est ab NIVIS.",2025-12-12 20:43:01+00:00
527f0b0eb647811bf5ffbda5fe7cce3f,2025-12-06T16:32:06Z,'Verschüttete Lawine',www.diepresse.com,de,0.9,19-Jähriger in Tirol am Klettersteig ums Leben gekommen,Der junge Mann wurde auf dem Klettersteig von einer Lawine erfasst. Sein Begleiter blieb unverletzt. Er hatte die Karabiner am Seil.,https://www.diepresse.com/20383473/19-jaehriger-in-tirol-am-klettersteig-ums-leben-gekommen,https://img.diepresse.com/public/incoming/e2rpcx-imago819360464.jpg/alternates/DPR_SOCIAL_NACHRICHTEN/imago819360464.jpg,,"Der junge Mann wurde auf dem Klettersteig von einer Lawine erfasst. Sein Begleiter blieb unverletzt. Er hatte die Karabiner am Seil. 
Ein 19-jähriger Alpinist aus Deutschland ist Samstagvormittag be… [+1884 chars]",,19-Jähriger in Tirol am Klettersteig ums Leben gekommen. Der junge Mann wurde auf dem Klettersteig von einer Lawine erfasst. Sein Begleiter blieb unverletzt. Er hatte die Karabiner am Seil.,19-year-old died on a via ferrata in Tyrol. The young man was hit by an avalanche on the via ferrata. His companion remained unhurt. He had the carabiners on the rope.,19 annos in via ferrata in Tyrol mortuus est. adulescens ab NIVIS in via ferrata ictus est. Socius eius incolumis mansit. In funem habuit carabinos.,2025-12-13 14:40:04+00:00
a4e4ec3460ff735d39ffdbb021de4bd6,2025-12-07T09:56:03Z,'Lawine',www.rtl.de,de,0.9,19-Jähriger aus Deutschland stirbt bei Lawine in Tirol,Ein Klettersteig an der Zugspitze ist einem jungen Mann aus Baden-Württemberg zum tödlichen Verhängnis geworden. Er wurde von einer Lawine erfasst – und hatte wohl einen fatalen Fehler begangen.,https://www.rtl.de/news/19-jaehriger-aus-deutschland-stirbt-bei-lawine-in-tirol-id30114695.html,https://www.rtl.de/img/6611261/1755680092/c16_9/1200/image.webp,http://web.archive.org/web/20251209045217/https://www.rtl.de/news/19-jaehriger-aus-deutschland-stirbt-bei-lawine-in-tirol-id30114695.html,"An der Zugspitze19-Jähriger aus Deutschland stirbt bei Lawine in Tirol
Er wurde nur 19 Jahre alt. (Archivbild)
Angelika Warmuth/dpa
7. Dezember 2025um10:47Uhr
Ein Klettersteig an der Zugspitze is… [+1243 chars]",,19-Jähriger aus Deutschland stirbt bei Lawine in Tirol. Ein Klettersteig an der Zugspitze ist einem jungen Mann aus Baden-Württemberg zum tödlichen Verhängnis geworden. Er wurde von einer Lawine erfasst – und hatte wohl einen fatalen Fehler begangen.,19-year-old from Germany dies in avalanche in Tyrol. A via ferrata on the Zugspitze proved fatal for a young man from Baden-Württemberg. He was caught in an avalanche – and had probably made a fatal mistake.,"XIX annos e Germania in Tyrolis moritur. A via ferrata in Zugspitze exitiale fuit iuveni Badensi-Wurttembergae. In NIVIS CASUS captus est, et probabiliter errasse.",2025-12-13 14:40:04+00:00
befc901dedc4201184b62337c89d7b6a,2025-12-16T18:47:39Z,'Lawine',www.morgenpost.de,de,0.9,Studie alarmiert: Gletscher-Sterben schürt Gefahren in den Alpen,"Lawinen, Felsstürze, Erdrutsche: In den Alpen gibt es immer mehr Gefahrenzonen. Was die Entwicklung für Bergsteiger und Bewohner bedeutet.",https://www.morgenpost.de/panorama/article410725652/studie-alarmiert-gletscher-sterben-schuert-gefahren-in-den-alpen.html,https://img.sparknews.funkemedien.de/409836541/409836541_1765895123_v16_9_1600.jpeg,,Am 1. November ereignete sich in Südtirol wohl einer der tragischsten Bergunfälle in diesem Jahr: Bei einem Lawinenunglück im Ortlergebiet kamen fünf Menschen ums Leben. Zwei Frauen und drei Männer a… [+5028 chars],,"Studie alarmiert: Gletscher-Sterben schürt Gefahren in den Alpen. Lawinen, Felsstürze, Erdrutsche: In den Alpen gibt es immer mehr Gefahrenzonen. Was die Entwicklung für Bergsteiger und Bewohner bedeutet.","Study alarms: Glacier death is fueling dangers in the Alps. Avalanches, rock falls, landslides: there are more and more danger zones in the Alps. What the development means for mountaineers and residents.","Studere terroribus: Glacier mors in Alpibus demum pericula. Avalanches, saxum cadit, proruit: in Alpibus zonae magis ac magis periculum sunt. Quid significat progressionem montanorum et incolarum.",2025-12-19 20:42:58+00:00
8e039c12e66175f36269d9675df45343,2025-12-06T16:48:42Z,'Lawine',www.zeit.de,de,0.9,Vorfall an der Zugspitze: Deutscher Alpinist von Lawine erfasst und getötet,Hier finden Sie Informationen zu dem Thema „Vorfall an der Zugspitze“. Lesen Sie jetzt „Deutscher Alpinist von Lawine erfasst und getötet“.,https://www.zeit.de/news/2025-12/06/deutscher-alpinist-von-lawine-erfasst-und-getoetet,https://img.zeit.de/news/2025-12/06/deutscher-alpinist-von-lawine-erfasst-und-getoetet-image-group/wide__1300x731,,Ein 19-jähriger Alpinist aus Deutschland ist auf einem Klettersteig in Österreich tödlich verunglückt. Der junge Mann aus dem Landkreis Göppingen in Baden-Württemberg sei auf einem Klettersteig an de… [+769 chars],,Vorfall an der Zugspitze: Deutscher Alpinist von Lawine erfasst und getötet. Hier finden Sie Informationen zu dem Thema „Vorfall an der Zugspitze“. Lesen Sie jetzt „Deutscher Alpinist von Lawine erfasst und getötet“.,Incident at Zugspitze: German alpinist hit by avalanche and killed. Here you will find information on the topic “Incident at the Zugspitze”. Now read “German alpinist hit and killed by avalanche”.,"Res apud Zugspitze: German alpinist ictus NIVIS et occisus est. Hic reperies informationem de argumento ""Incidentis in Zugspitze"". Nunc legitur ""Germanicus alpinist ictus et ab NIVIS"" occisus est.",2025-12-21 20:41:19+00:00
